selector,pool,Bleu_1,Bleu_2,Bleu_3,Bleu_4,CIDEr,METEOR,ROUGE_L,agree_with_top1,mean_len
beam_top1,ours,0.7314,0.5685,0.4325,0.3283,1.0166,0.2572,0.5408,1.0,8.98
random,ours,0.7161,0.5492,0.4105,0.3061,0.98,0.2569,0.5333,0.2,9.75
clip,ours,0.7303,0.5663,0.4261,0.3173,1.0484,0.2662,0.5442,0.168,9.85
fusion_a0,ours,0.7067,0.5417,0.4073,0.3065,1.0066,0.264,0.5377,0.5,10.17
fusion_a0.25,ours,0.7095,0.5452,0.4111,0.3092,1.0231,0.2658,0.5401,0.455,10.19
fusion_a0.5,ours,0.7207,0.5572,0.4208,0.316,1.0525,0.269,0.5444,0.356,10.1
fusion_a0.75,ours,0.7281,0.5644,0.4247,0.3166,1.0548,0.2676,0.544,0.236,9.96
fusion_a1,ours,0.7303,0.5663,0.4261,0.3173,1.0484,0.2662,0.5442,0.168,9.85
oracle,ours,0.7962,0.6596,0.5343,0.4295,1.3329,0.2995,0.6018,0.244,9.55
blip_top1,blip,0.6942,0.5408,0.41,0.3065,1.1932,0.2975,0.5411,,12.21
