selector,pool,Bleu_1,Bleu_2,Bleu_3,Bleu_4,CIDEr,METEOR,ROUGE_L,agree_with_top1,mean_len
beam_top1,ours,0.5912,0.3964,0.2601,0.1703,0.618,0.199,0.4269,1.0,9.66
random,ours,0.4549,0.2907,0.1824,0.1147,0.4126,0.2022,0.3909,0.2,15.46
clip,ours,0.4534,0.2891,0.1808,0.1132,0.4228,0.2052,0.3931,0.196,15.96
fusion_a0,ours,0.5769,0.3855,0.2518,0.1637,0.6222,0.2069,0.4329,0.716,10.74
fusion_a0.25,ours,0.5693,0.3784,0.2456,0.1587,0.6101,0.2092,0.4316,0.552,11.2
fusion_a0.5,ours,0.5377,0.3528,0.2256,0.144,0.5591,0.2099,0.4221,0.382,12.4
fusion_a0.75,ours,0.4779,0.307,0.1931,0.1214,0.4696,0.207,0.4026,0.25,14.79
fusion_a1,ours,0.4534,0.2891,0.1808,0.1132,0.4228,0.2052,0.3931,0.196,15.96
oracle,ours,0.5929,0.3995,0.2637,0.1729,0.6831,0.2145,0.4441,0.58,10.79
blip_top1,blip,0.6942,0.5408,0.41,0.3065,1.1932,0.2975,0.5411,,12.21
