selector,pool,Bleu_1,Bleu_2,Bleu_3,Bleu_4,CIDEr,METEOR,ROUGE_L,agree_with_top1,mean_len
beam_top1,ours,0.322,0.1518,0.0728,0.0361,0.1878,0.1205,0.2513,1.0,12.0
random,ours,0.2078,0.088,0.0388,0.0179,0.08,0.1219,0.21,0.2,27.41
clip,ours,0.2212,0.095,0.0423,0.0197,0.1143,0.125,0.224,0.248,25.04
fusion_a0,ours,0.3104,0.1446,0.0682,0.0331,0.1848,0.1268,0.2574,0.729,14.03
fusion_a0.25,ours,0.3052,0.1414,0.0664,0.032,0.1805,0.1284,0.2563,0.627,14.66
fusion_a0.5,ours,0.2766,0.1248,0.0573,0.0274,0.1566,0.1294,0.2474,0.442,17.62
fusion_a0.75,ours,0.2367,0.1032,0.0464,0.0218,0.1306,0.1267,0.2326,0.317,22.46
fusion_a1,ours,0.2212,0.095,0.0423,0.0197,0.1143,0.125,0.224,0.248,25.04
oracle,ours,0.317,0.1475,0.0698,0.0341,0.2022,0.1291,0.261,0.729,13.67
blip_top1,blip,0.6942,0.5408,0.41,0.3065,1.1932,0.2975,0.5411,,12.21
