selector,pool,Bleu_1,Bleu_2,Bleu_3,Bleu_4,CIDEr,METEOR,ROUGE_L,agree_with_top1,mean_len
beam_top1,ours,0.5146,0.3247,0.202,0.1253,0.275,0.1459,0.349,1.0,11.05
random,ours,0.406,0.2386,0.1405,0.0833,0.1887,0.1529,0.3214,0.225,19.11
clip,ours,0.405,0.2378,0.1397,0.0823,0.2018,0.1553,0.3239,0.184,19.78
fusion_a0,ours,0.5074,0.315,0.1934,0.1182,0.2839,0.1549,0.3567,0.651,13.2
fusion_a0.25,ours,0.4991,0.3072,0.187,0.1136,0.2799,0.1562,0.354,0.517,13.88
fusion_a0.5,ours,0.4732,0.2866,0.1727,0.1038,0.2651,0.1571,0.3469,0.36,15.35
fusion_a0.75,ours,0.429,0.255,0.1511,0.0896,0.2278,0.1565,0.3334,0.247,18.03
fusion_a1,ours,0.405,0.2378,0.1397,0.0823,0.2018,0.1553,0.3239,0.184,19.78
oracle,ours,0.5079,0.312,0.1903,0.1157,0.332,0.1602,0.3626,0.492,14.06
blip_top1,blip,0.6372,0.4514,0.3084,0.2106,0.6512,0.2057,0.4391,,12.26
