selector,pool,Bleu_1,Bleu_2,Bleu_3,Bleu_4,CIDEr,METEOR,ROUGE_L,agree_with_top1,mean_len
beam_top1,ours,0.3199,0.1419,0.0645,0.0274,0.0974,0.0939,0.218,1.0,12.44
random,ours,0.2294,0.0913,0.0376,0.0154,0.0466,0.102,0.1944,0.225,25.85
clip,ours,0.2408,0.0967,0.0402,0.0163,0.067,0.1034,0.2045,0.259,24.0
fusion_a0,ours,0.3059,0.1325,0.0583,0.0244,0.0945,0.0999,0.2253,0.67,15.2
fusion_a0.25,ours,0.3018,0.1297,0.0564,0.0236,0.0919,0.1012,0.2238,0.573,15.84
fusion_a0.5,ours,0.2789,0.1178,0.0502,0.0208,0.0842,0.1029,0.2185,0.406,18.52
fusion_a0.75,ours,0.2509,0.1024,0.0429,0.0175,0.0733,0.1033,0.2096,0.316,22.29
fusion_a1,ours,0.2408,0.0967,0.0402,0.0163,0.067,0.1034,0.2045,0.259,24.0
oracle,ours,0.3018,0.1279,0.0558,0.0232,0.1098,0.1032,0.2296,0.596,16.22
blip_top1,blip,0.6372,0.4514,0.3084,0.2106,0.6512,0.2057,0.4391,,12.26
